article,finding_id,severity,category,title,artifact_tags,mechanism_tags,source_report,evidence_text
jama.2024.24764,1,Minor,Presentation inconsistency,Participant-count framing does not disclose multiple responses,Other main table,Denominator/population; Count/percentage arithmetic; Footnote/title/caption/legend,jama.2024.24764/.ai_paper_validation/final_report.md,"### 1. Participant-count framing does not disclose multiple responses - Category / severity: Presentation inconsistency / Minor (V1 / TAC-01). - Exact location: jama_atherton_2025_oi_240145_1741627844.85412.pdf, PDF p. 7 (printed p. 859), Table 2: Level of operating surgeon, Level of surgeon closing fascia, and Level of surgeon closing skin. - Compared values/statements: Header: No. of participants (%); iNPWT n=411, surgeon's preference n=410. Operating-surgeon counts: 319, 123, 4 and 318, 110, 1; fascia: 201, 218, 26 and 193, 225, 15; skin: 115, 214, 96 and 102, 241, 73. Footnote f defines seniority equivalents but does not state that categories are non-mutually exclusive. - Calculation/logical basis: Totals are 446 vs 411 and 429 vs 410 (operating); 445 vs 411 and 433 vs 410 (fascia); 425 vs 411 and 416 vs 410 (skin). Each block exceeds its stated participant denominator and its percentages exceed 100%; the table does not disclose a multiple-response rule. - Verification instruction: Confirm whether more than one surgeon or level could be recorded per operation. If so, add a multiple-response/non-mutually-exclusive note; otherwise recheck counts."
jama.2024.24764,2,Minor,Statistical reporting inconsistency,Pandemic-subgroup population is incompletely stated in Methods,Other figure,Denominator/population; Footnote/title/caption/legend,jama.2024.24764/.ai_paper_validation/final_report.md,"### 2. Pandemic-subgroup population is incompletely stated in Methods - Category / severity: Statistical reporting inconsistency / Minor (V3 / FFC-2). - Exact location: MAIN PDF p. 4 (printed p. 856), Statistical Analysis; MAIN PDF p. 9 (printed p. 861), Figure 2 pandemic rows and footnote a; SAP joi240145supp1_prod_1741627844.87412.pdf, PDF p. 28, section 9.9. - Compared statements/values: Methods describes randomization before or after March 11, 2020 without a country restriction. Figure 2 footnote a states UK-based patients only; its pandemic-row events are 60 + 19 = 79 and 55 + 18 = 73, matching the Figure 2 UK-row events 79 and 73. SAP section 9.9 specifies the pandemic subgroup For UK patients only. - Calculation/logical basis: The figure and SAP identify a UK-only analysis, whereas the Methods population description omits that restriction. - Verification instruction: Reconcile the Methods wording with the SAP and Figure 2; explicitly state the UK-only restriction."
jama.2024.24764,3,Minor,Presentation inconsistency,Figure 2 lacks category denominators and missing-classification disclosure,Other figure,Denominator/population; Count/percentage arithmetic,jama.2024.24764/.ai_paper_validation/final_report.md,"### 3. Figure 2 lacks category denominators and missing-classification disclosure - Category / severity: Presentation inconsistency / Minor (V4 / FFC-3). - Exact location: MAIN PDF p. 9 (printed p. 861), Figure 2. - Compared values/statements: Figure 2 provides overall n=394 per group and primary events 112 and 108, but no category denominators, missing/unknown categories, or complete-case note. BMI events total 109 and 103; incision-length events 111 and 103; assessment-method events 101 and 107. - Calculation/logical basis: Shortfalls from primary events are BMI 3/5, incision length 1/5, and assessment method 11/1 (iNPWT/control). Missing subgroup data may explain the shortfalls, but the figure does not quantify or disclose it. - Verification instruction: Total each category's event numerators against 112/108; provide category denominators and missing/unknown counts, or add a complete-case subgroup-analysis note."
jama.2024.24764,4,Minor,Statistical reporting inconsistency,Unqualified quality-of-life narrative conflicts with the displayed day-7 contrast,Narrative/abstract; Supplementary table,Count/percentage arithmetic; CI/point-estimate compatibility; P value/test labeling; Effect measure/model label; Summary-statistic/unit label,jama.2024.24764/.ai_paper_validation/final_report.md,"### 4. Unqualified quality-of-life narrative conflicts with the displayed day-7 contrast - Category / severity: Statistical reporting inconsistency / Minor (V5 / SCC-01). - Exact location: MAIN PDF p. 1 (printed p. 853), Abstract Results; MAIN PDF p. 6 (printed p. 858), Secondary Outcomes; results supplement joi240145supp3_prod_1741627844.89412.pdf, PDF p. 4, eTable 3, EQ5D-5L EuroQol score, Day 7. - Compared statements/values: The Abstract says quality of life showed no significant difference; Results says there were no differences in quality of life between the 2 groups. eTable 3 Day 7 reports N=292/283, means 0.44 (SD 0.32) vs 0.49 (SD 0.30), adjusted mean difference -0.057 (95% CI, -0.104 to -0.010), P=.02; treatment-by-time interaction P=.10. - Calculation/logical basis: The day-7 CI excludes 0 and the displayed time-specific P value is below .05, which conflicts with the unqualified narrative. The nonsignificant interaction may be the intended global basis, but the narrative does not state that qualification. - Verification instruction: Confirm whether the conclusion relies on the global interaction or time-specific contrasts, then qualify the Abstract and Results accordingly."
jama.2024.4183,C01,Minor,Participant flow inconsistency,2232 assessed; 1740 excluded; 491 randomized.,Flow diagram,Participant-flow wording,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"1. C01 — Participant flow inconsistency — Minor - Location: jama_cinciripini_2024_oi_240036_1716416465.98349.pdf (DOC-001), PDF p. 6, Figure 2. - Compared values: 2232 assessed; 1740 excluded; 491 randomized. - Basis: 2232 − 1740 = 492, not 491. Listed exclusion subgroups reconcile to 1740. - Verify: Trace Figure 2 eligibility branches and subtract exclusions from assessed participants."
jama.2024.4183,C02,Minor,Arithmetic inconsistency,Each n=245 arm reports Female 105 (42.9%) and Male 145 (57.1%).,Table 1/baseline,Count/percentage arithmetic,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"2. C02 — Arithmetic inconsistency — Minor - Location: jama_cinciripini_2024_oi_240036_1716416465.98349.pdf (DOC-001), PDF p. 5, Table “Baseline Measures and Demographics,” Sex rows. - Compared values: Each n=245 arm reports Female 105 (42.9%) and Male 145 (57.1%). - Basis: 105 + 145 = 250; 145 / 245 = 59.2%, not 57.1%. - Verify: Sum sex counts within each arm and recompute the male percentage."
jama.2024.4183,C03,Minor,Participant flow inconsistency,Prose states that 40 CNRT and 35 varenicline participants “did attend rerandomization”; Figure 2 states they “did not attend rerandomization.”,Narrative/abstract; Flow diagram,Count/percentage arithmetic; Participant-flow wording,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"3. C03 — Participant flow inconsistency — Minor - Location: jama_cinciripini_2024_oi_240036_1716416465.98349.pdf (DOC-001), PDF p. 4 participant-flow prose and p. 6, Figure 2. - Compared statements: Prose states that 40 CNRT and 35 varenicline participants “did attend rerandomization”; Figure 2 states they “did not attend rerandomization.” - Basis: Figure totals support nonattendance: 151 + 40 = 191; 122 + 35 = 157. - Verify: Compare the p. 4 sentence with both Figure 2 nonattendance boxes."
jama.2024.4183,C04,Major,Cross-document inconsistency,DOC-001 Figure 1 and later DOC-003 definitions specify CNRT+ with 2-mg lozenges; DOC-003 E-Figure 1 specifies a 4-mg lozenge.,Supplementary figure; Flow diagram,Denominator/population; Footnote/title/caption/legend,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"4. C04 — Cross-document inconsistency — Major - Location: jama_cinciripini_2024_oi_240036_1716416465.98349.pdf (DOC-001), PDF p. 3, Figure 1; joi240036supp2_prod_1716416466.01349.pdf (DOC-003), PDF p. 14, E-Figure 1 caption, and pp. 15–18 and 20. - Compared statements: DOC-001 Figure 1 and later DOC-003 definitions specify CNRT+ with 2-mg lozenges; DOC-003 E-Figure 1 specifies a 4-mg lozenge. - Basis: The intervention definition differs across supplied exhibits. - Verify: Compare the E-Figure 1 caption with DOC-001 Figure 1 and the cited supplemental definitions."
jama.2024.4183,C06,Minor,Statistical reporting inconsistency,Switch is 0/41 (0%); stay is 2/77 (3%). DOC-001 prints −3% but says continuing was worse; E-Table 4 labels switch versus stay but prints +3%.,Narrative/abstract; Supplementary table; Other figure,Denominator/population; Count/percentage arithmetic,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"5. C06 — Statistical reporting inconsistency — Minor - Location: jama_cinciripini_2024_oi_240036_1716416465.98349.pdf (DOC-001), PDF pp. 5 and 7, outcome text/Figure 3; joi240036supp2_prod_1716416466.01349.pdf (DOC-003), PDF p. 21, E-Table 4. - Compared values/statements: Switch is 0/41 (0%); stay is 2/77 (3%). DOC-001 prints −3% but says continuing was worse; E-Table 4 labels switch versus stay but prints +3%. - Basis: In the stated order, switch minus stay is approximately 0% − 3% = −3%. - Verify: Recompute the difference in the displayed order and compare the prose, Figure 3, and E-Table 4 label/value."
jama.2024.4183,C07,Minor,Statistical reporting inconsistency,"Under stated K = 1000 simulations, power is 0.948 at threshold 0.80 and 0.980 at the stricter threshold 0.85.",Supplementary table,Other wording/definition,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"6. C07 — Statistical reporting inconsistency — Minor - Location: joi240036supp2_prod_1716416466.01349.pdf (DOC-003), PDF p. 8 simulation description and p. 18, E-Table 2. - Compared values: Under stated K = 1000 simulations, power is 0.948 at threshold 0.80 and 0.980 at the stricter threshold 0.85. - Basis: The event meeting 0.85 is nested within the event meeting 0.80; under unchanged simulations, the stricter event cannot occur more often. - Verify: Compare the first two threshold/power rows with the stated simulation conditions."
jama.2024.4183,C08,Major,Presentation inconsistency,"Prose reports 1.0% (7.0%–1.3%); E-Figure 2 reports 5/51, 10% (7%–13%). Prose reports ARD 1.1% (−1.0%–22%); E-Table 11 reports 11% (−1%–22%).",Narrative/abstract; Supplementary table; Supplementary figure; Other figure,Denominator/population; Count/percentage arithmetic,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"7. C08 — Presentation inconsistency — Major - Location: joi240036supp2_prod_1716416466.01349.pdf (DOC-003), PDF pp. 10–11 prose, p. 15 E-Figure 2, and p. 35 E-Table 11. - Compared values: Prose reports 1.0% (7.0%–1.3%); E-Figure 2 reports 5/51, 10% (7%–13%). Prose reports ARD 1.1% (−1.0%–22%); E-Table 11 reports 11% (−1%–22%). - Basis: The prose values differ by apparent decimal placement from the linked figure and table. - Verify: Compare each prose value directly with its linked exhibit."
jama.2024.4183,C09,Minor,Presentation inconsistency,Prose uses n=42 for varenicline continuation; E-Figures 2–3 use 0/77.,Narrative/abstract; Other figure,Denominator/population; Count/percentage arithmetic; Participant-flow wording,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"8. C09 — Presentation inconsistency — Minor - Location: jama_cinciripini_2024_oi_240036_1716416465.98349.pdf (DOC-001), PDF pp. 6–7, Figure 2/outcome text; joi240036supp2_prod_1716416466.01349.pdf (DOC-003), PDF pp. 9–10 and pp. 15–16, E-Figures 2–3. - Compared values: Prose uses n=42 for varenicline continuation; E-Figures 2–3 use 0/77. - Basis: Figure 2 shows 42 rerandomized plus 35 nonattenders assigned to continuation: 42 + 35 = 77. - Verify: Trace both continuation branches in Figure 2 and compare the resulting denominator with prose and E-Figures 2–3."
jama.2024.4183,C10,Minor,Presentation inconsistency,"E-Table 5 states no adverse-event differences exceeded 2% except nausea; displayed absolute differences exceed two points for pruritus (2.84), skin rash (3.65), headache (3.25), and concentration impairment (2.44). DOC-0",Supplementary table,Denominator/population; Count/percentage arithmetic,jama.2024.4183/.ai_paper_validation/human_adjudication_report.md,"9. C10 — Presentation inconsistency — Minor - Location: joi240036supp2_prod_1716416466.01349.pdf (DOC-003), PDF pp. 22–24, E-Table 5; jama_cinciripini_2024_oi_240036_1716416465.98349.pdf (DOC-001), PDF p. 7. - Compared statements/values: E-Table 5 states no adverse-event differences exceeded 2% except nausea; displayed absolute differences exceed two points for pruritus (2.84), skin rash (3.65), headache (3.25), and concentration impairment (2.44). DOC-001 adds “with nonoverlapping CrIs.” - Basis: The supplemental statement omits the qualifying condition present in the main article. - Verify: Recompute the cited row differences and compare the supplement preamble with the complete main-article statement."
jama.2024.6063,C04,Major,Arithmetic inconsistency,"Krill final/baseline 100/127, change −84 (−122 to −46); placebo 108/141, change −103 (−141 to −65); between-group +3 (−10 to 16), P=.66. The adjacent Function week-4 row repeats −84 (−122 to −46) and −103 (−141 to −65) a",Supplementary table,Count/percentage arithmetic; P value/test labeling; Duplicate/transposed content,jama.2024.6063/.ai_paper_validation/final_report.md,"1. C04 — Arithmetic inconsistency — Major Location: Results supplement PDF page 5, eTable 4, WOMAC weight-bearing-pain week 4. Compared values: Krill final/baseline 100/127, change −84 (−122 to −46); placebo 108/141, change −103 (−141 to −65); between-group +3 (−10 to 16), P=.66. The adjacent Function week-4 row repeats −84 (−122 to −46) and −103 (−141 to −65) and reports between-group −19. Basis: Endpoint differences are approximately −27 and −33; the printed arm changes imply −19 rather than +3 and duplicate the Function-row values. Verification: Trace the weight-bearing-pain row and compare its change cells with Function character-for-character."
jama.2024.6063,C05,Major,Presentation inconsistency,"Strength final/baseline 72.6/66.5 and 70.2/65.9; changes −2.8 (−6.0 to 0.4) and −4.2 (−7.4 to −1.1); between-group −1.4 (−5.9 to 3.0), P=.53. The entire change/inference block is identical to back-pain week 4.",Supplementary table,Count/percentage arithmetic; P value/test labeling; Duplicate/transposed content,jama.2024.6063/.ai_paper_validation/final_report.md,"2. C05 — Presentation inconsistency — Major Location: Results supplement PDF page 6, eTable 4, lower-leg-strength week 12 and back-pain week 4. Compared values: Strength final/baseline 72.6/66.5 and 70.2/65.9; changes −2.8 (−6.0 to 0.4) and −4.2 (−7.4 to −1.1); between-group −1.4 (−5.9 to 3.0), P=.53. The entire change/inference block is identical to back-pain week 4. Basis: Exact duplication across unrelated rows while the displayed strength means rise. Verification: Compare every change-through-P-value cell for the two rows."
jama.2024.6063,C07,Major,Cross-document inconsistency,Main Table 3 totals are krill/placebo 11/6; visible eTable 7 terms sum to 6/6.,Supplementary table,Count/percentage arithmetic,jama.2024.6063/.ai_paper_validation/final_report.md,"3. C07 — Cross-document inconsistency — Major Location: Main article PDF page 8, Table 3, versus results supplement PDF pages 11–12, eTable 7, injury/procedural-complication category. Compared values: Main Table 3 totals are krill/placebo 11/6; visible eTable 7 terms sum to 6/6. Basis: Placebo totals agree; the krill total differs by five events. Verification: Sum every eTable 7 preferred term within the category and compare with Table 3."
jama.2024.6063,C01,Minor,Statistical reporting inconsistency,"Key Points gives +0.30 (95% CI −6.9 to 6.4; P=.94); the other locations give approximately −0.3 with the same CI/P, including eTable 1 −0.27 (−6.92 to 6.38), P=.94.",Narrative/abstract; Supplementary table,CI/point-estimate compatibility; P value/test labeling,jama.2024.6063/.ai_paper_validation/final_report.md,"4. C01 — Statistical reporting inconsistency — Minor Location: Main article PDF page 2, Key Points; page 1 Abstract; page 6, Table 2; page 7, Results; results supplement page 2, eTable 1; page 5, eTable 4. Compared values: Key Points gives +0.30 (95% CI −6.9 to 6.4; P=.94); the other locations give approximately −0.3 with the same CI/P, including eTable 1 −0.27 (−6.92 to 6.38), P=.94. Basis: −20.2 − (−19.9)=−0.3; reversal of the contrast would also reverse CI endpoints, but only the Key Points estimate is positive. Verification: Compare all six locations and confirm only Key Points is positive."
jama.2024.6063,C02,Minor,Arithmetic inconsistency,Header n=130; reported 67 (50.7).,Other main table,Denominator/population; Count/percentage arithmetic; Footnote/title/caption/legend,jama.2024.6063/.ai_paper_validation/final_report.md,"5. C02 — Arithmetic inconsistency — Minor Location: Main article PDF page 8, Table 3, “Participants with an adverse event,” krill arm. Compared values: Header n=130; reported 67 (50.7). Basis: 67/130 × 100 = 51.5%; 50.7% corresponds to 67/132 after rounding. Verification: Divide 67 by the displayed krill denominator."
jama.2024.6063,C03,Minor,Cross-document inconsistency,"Main krill/placebo counts: pain in extremity 1/6, gastroesophageal reflux disease 1/3, abdominal discomfort 0/3, diarrhea 2/1. eTable 7: 1/5, 3/1, 3/0, 1/2, respectively. The main narrative gives extremity pain 1/5.",Narrative/abstract; Supplementary table,Count/percentage arithmetic; Duplicate/transposed content,jama.2024.6063/.ai_paper_validation/final_report.md,"6. C03 — Cross-document inconsistency — Minor Location: Main article PDF page 8, Table 3 and narrative, versus results supplement PDF pages 10–11, eTable 7. Compared values: Main krill/placebo counts: pain in extremity 1/6, gastroesophageal reflux disease 1/3, abdominal discomfort 0/3, diarrhea 2/1. eTable 7: 1/5, 3/1, 3/0, 1/2, respectively. The main narrative gives extremity pain 1/5. Basis: Same-term conflicts; three gastrointestinal rows are arm-reversed and extremity pain differs by one placebo event. Verification: Compare the four named rows and narrative column-by-column."
jama.2024.6063,C06,Minor,Arithmetic inconsistency,"Totals are 107 krill and 109 placebo. Printed/calculated percentages: 10 (12%) versus 9.3%; 16 (12%) versus 14.7%; 80 (72%) versus 74.8%; 75 (72%) versus 68.8%; 12/107=11.2%, not 12%.",Supplementary table,Count/percentage arithmetic,jama.2024.6063/.ai_paper_validation/final_report.md,"7. C06 — Arithmetic inconsistency — Minor Location: Results supplement PDF page 8, eTable 5, WORMS totals. Compared values: Totals are 107 krill and 109 placebo. Printed/calculated percentages: 10 (12%) versus 9.3%; 16 (12%) versus 14.7%; 80 (72%) versus 74.8%; 75 (72%) versus 68.8%; 12/107=11.2%, not 12%. Basis: Multiple displayed percentages do not equal count divided by displayed arm total. Verification: Recalculate every category using 107 and 109."
jama.2024.6063,C08,Minor,Cross-document inconsistency,"eTable row n=167: krill 82 (98.8%), placebo 81 (96.4%); footnote n=165. Main text states 95% consumed at least 80% of softgels.",Narrative/abstract; Supplementary table,Denominator/population; Count/percentage arithmetic; Footnote/title/caption/legend,jama.2024.6063/.ai_paper_validation/final_report.md,"8. C08 — Cross-document inconsistency — Minor Location: Results supplement PDF page 3, eTable 2 overall adherence row and footnote; main article PDF page 7, adherence text. Compared values: eTable row n=167: krill 82 (98.8%), placebo 81 (96.4%); footnote n=165. Main text states 95% consumed at least 80% of softgels. Basis: Percentages imply denominators 83+84=167; 163/167=97.6%, not 95%; 163/165 is also not 95%. Verification: Infer arm denominators from percentages; compare with row/footnote n and main-text summary."
jama.2024.6063,C09,Minor,Presentation inconsistency,"Main footnotes direct detailed adverse events to eTable 4 and serious events to eTables 5 and 6. Supplement identifies eTable 4 as secondary endpoints, eTable 5 as WORMS, eTable 6 as analgesic use, eTable 7 as adverse ev",Supplementary table,Cross-reference/citation; Footnote/title/caption/legend,jama.2024.6063/.ai_paper_validation/final_report.md,"9. C09 — Presentation inconsistency — Minor Location: Main article PDF page 8, Table 3 footnotes; results supplement PDF page 1, contents and eTable headings. Compared values: Main footnotes direct detailed adverse events to eTable 4 and serious events to eTables 5 and 6. Supplement identifies eTable 4 as secondary endpoints, eTable 5 as WORMS, eTable 6 as analgesic use, eTable 7 as adverse events, and eTable 8 as serious adverse events. Basis: The footnotes refer to unrelated supplement tables. Verification: Match every Table 3 footnote citation to the supplement contents and headings."
jama.2024.6063,C10,Minor,Presentation inconsistency,Caption identifies baseline as “left” and 24 weeks as “right”; renderings are vertically stacked and unlabeled.,Supplementary figure,Footnote/title/caption/legend,jama.2024.6063/.ai_paper_validation/final_report.md,"10. C10 — Presentation inconsistency — Minor Location: Results supplement PDF page 15, eFigure. Compared values/statements: Caption identifies baseline as “left” and 24 weeks as “right”; renderings are vertically stacked and unlabeled. Basis: No left/right pair maps to the displayed layout, leaving time-point assignment ambiguous. Verification: Inspect source PDF page 15 and confirm top/bottom unlabeled renderings with a left/right caption."
jama.2025.11178,1,Major,Participant flow inconsistency,Overall randomized N=2331; at least 1 follow-up=2036; no/one/two/three follow-ups=295/188/283/1568. painTRAINER: 776; 643; 133/77/103/464. Health Coach: 778; 690; 88/47/81/564.,Supplementary table; Flow diagram,Count/percentage arithmetic; Participant-flow wording,jama.2025.11178/.ai_paper_validation/final_report.md,"1. Category: Participant flow inconsistency Severity: Major Location: DOC-005-RESULTS, PDF p. 7, eTable 1; corroboration: DOC-001-MAIN, PDF p. 5, Figure 1; DOC-006-XLSX, eTable 3, B2:E3. Values/statements: Overall randomized N=2331; at least 1 follow-up=2036; no/one/two/three follow-ups=295/188/283/1568. painTRAINER: 776; 643; 133/77/103/464. Health Coach: 778; 690; 88/47/81/564. Calculation/logical basis: Overall pattern total 295+188+283+1568=2334, 3 above 2331; follow-up pattern total 188+283+1568=2039, 3 above 2036. painTRAINER totals are 777 and 644; Health Coach totals are 780 and 692. Workbook partition is 295+468+1568=2331. Verification instruction: Reconcile eTable 1 pattern cells with participant-flow totals and source analysis output."
jama.2025.11178,2,Major,Statistical reporting inconsistency,"-0.28 (-0.47 to -0.08), P=.150; -0.20 (-0.36 to -0.03), P=.226; -0.30 (-0.58 to -0.02), P=.280; -0.47 (-0.74 to -0.19), P=.090; 0.19 (0.08 to 0.29), P=.069; 0.15 (0.05 to 0.24), P=.124; 0.16 (0.07 to 0.25), P=.077.",Supplementary table,CI/point-estimate compatibility; P value/test labeling; Effect measure/model label,jama.2025.11178/.ai_paper_validation/final_report.md,"2. Category: Statistical reporting inconsistency Severity: Major Location: DOC-005-RESULTS, PDF p. 8, eTable 3. Values/statements: -0.28 (-0.47 to -0.08), P=.150; -0.20 (-0.36 to -0.03), P=.226; -0.30 (-0.58 to -0.02), P=.280; -0.47 (-0.74 to -0.19), P=.090; 0.19 (0.08 to 0.29), P=.069; 0.15 (0.05 to 0.24), P=.124; 0.16 (0.07 to 0.25), P=.077. Calculation/logical basis: Each printed 95% CI excludes 0 while its paired P value exceeds .05. Verification instruction: Compare the seven rows with fitted-model output and restore coefficient, CI, and P-value alignment."
jama.2025.11178,3,Minor,Arithmetic inconsistency,Group N=1568; missing=2; current depression=711 (73.2).,Supplementary table,Denominator/population; Count/percentage arithmetic,jama.2025.11178/.ai_paper_validation/final_report.md,"3. Category: Arithmetic inconsistency Severity: Minor Location: DOC-006-XLSX, eTable 3, E3 and A82:E83. Values/statements: Group N=1568; missing=2; current depression=711 (73.2). Calculation/logical basis: Nonmissing denominator=1568-2=1566; 711/1566=45.4%, not 73.2%. Verification instruction: Recalculate E82 from source analysis output."
jama.2025.11178,4,Major,Statistical reporting inconsistency,"Eight cited SMD point estimates lie outside printed CIs, including pain severity at 12 months: -0.25 (-0.24 to 0.01) and -0.36 (-0.35 to -0.12); PGIC-pain at 12 months: -0.55 (-0.50 to 0.05), -0.57 (-0.54 to -0.08), and ",Other main table,Denominator/population; CI/point-estimate compatibility; Effect measure/model label; Summary-statistic/unit label; Footnote/title/caption/legend,jama.2025.11178/.ai_paper_validation/final_report.md,"4. Category: Statistical reporting inconsistency Severity: Major Location: DOC-001-MAIN, Table 3, PDF pp. 10-11 / JAMA pp. 601-602. Values/statements: Eight cited SMD point estimates lie outside printed CIs, including pain severity at 12 months: -0.25 (-0.24 to 0.01) and -0.36 (-0.35 to -0.12); PGIC-pain at 12 months: -0.55 (-0.50 to 0.05), -0.57 (-0.54 to -0.08), and -0.29 (-0.25 to 0.14). All 18 SMD cells in social-role and physical-function blocks across 3, 6, and 12 months display descending interval endpoints. Four cited SMDs have signs opposite to corresponding adjusted mean differences. Calculation/logical basis: Point estimates must fall within their stated CIs; CI limits should be lower-to-upper; Table 3 footnote d defines SMD as adjusted mean difference divided by a positive usual-care change SD, which cannot reverse sign. Verification instruction: Compare all affected SMD estimates, intervals, and comparison placement with source output and the stated standardization rule."
jama.2025.11178,5,Minor,Statistical reporting inconsistency,Text reports 3-month pain-severity SMDs -0.26 (painTRAINER vs usual care) and -0.36 (Health Coach vs usual care); Table 3 reports -0.25 and -0.34.,Other main table,Other wording/definition,jama.2025.11178/.ai_paper_validation/final_report.md,"5. Category: Statistical reporting inconsistency Severity: Minor Location: DOC-001-MAIN, Results—Secondary Outcomes, PDF p. 7 / JAMA p. 598; Table 3, PDF p. 10 / JAMA p. 601. Values/statements: Text reports 3-month pain-severity SMDs -0.26 (painTRAINER vs usual care) and -0.36 (Health Coach vs usual care); Table 3 reports -0.25 and -0.34. Calculation/logical basis: Published estimates for the same effects differ at two-decimal precision. Verification instruction: Identify authoritative source-output values and align text and Table 3."
jama.2025.11178,6,Minor,Presentation inconsistency,"Health Coach vs. painTRAINER 3M appears twice; both rows report RR 1.20, 95% CI 1.03 to 1.40, P=.019.",Supplementary table,CI/point-estimate compatibility; P value/test labeling; Duplicate/transposed content,jama.2025.11178/.ai_paper_validation/final_report.md,"6. Category: Presentation inconsistency Severity: Minor Location: DOC-005-RESULTS, PDF p. 9, eTable 4. Values/statements: Health Coach vs. painTRAINER 3M appears twice; both rows report RR 1.20, 95% CI 1.03 to 1.40, P=.019. Calculation/logical basis: Row label, time point, estimate, interval, and P value are exact duplicates within one table. Verification instruction: Compare row sequence with coefficient export; determine whether the second row should be removed or relabeled."
jama.2025.11178,7,Minor,Presentation inconsistency,"Each table contains two differently valued rows labeled Education: AA degree (ref = High school or less). eTable 4 has three rows labeled only Site; corresponding eTable 3 rows are Site 2, Site 3, and Site 4.",Supplementary table,Other wording/definition,jama.2025.11178/.ai_paper_validation/final_report.md,"7. Category: Presentation inconsistency Severity: Minor Location: DOC-005-RESULTS, PDF p. 8, eTable 3; PDF p. 9, eTable 4. Values/statements: Each table contains two differently valued rows labeled Education: AA degree (ref = High school or less). eTable 4 has three rows labeled only Site; corresponding eTable 3 rows are Site 2, Site 3, and Site 4. Calculation/logical basis: Printed labels do not unambiguously assign distinct coefficients to covariate levels. Verification instruction: Restore exact design-matrix level labels for education and site coefficients."
jama.2025.11178,8,Minor,Presentation inconsistency,"Randomized prior to 8/9/2021, N=454; 366 with at least 1 follow-up; PT=149, HC=153, UC=152 at 3-months.",Supplementary table,Count/percentage arithmetic; Participant-flow wording; Footnote/title/caption/legend,jama.2025.11178/.ai_paper_validation/final_report.md,"8. Category: Presentation inconsistency Severity: Minor Location: DOC-005-RESULTS, PDF p. 14, eTable 8, first subset header. Values/statements: Randomized prior to 8/9/2021, N=454; 366 with at least 1 follow-up; PT=149, HC=153, UC=152 at 3-months. Calculation/logical basis: 149+153+152=454, the full randomized subset; this cannot represent observed 3-month counts when 366 had at least one follow-up at any assessed time. Verification instruction: Check subset dataset and analysis definition to determine the correct label or counts."
jama.2025.11178,9,Minor,Presentation inconsistency,"Section heading: ADDITIONAL UNADJUSTED DATA AND ANALYSES; text says no adjustment, weighting, or imputation; title says adjusted relative risk; footnote b says calculated without adjustment.",Supplementary table,Effect measure/model label; Footnote/title/caption/legend,jama.2025.11178/.ai_paper_validation/final_report.md,"9. Category: Presentation inconsistency Severity: Minor Location: DOC-005-RESULTS, PDF p. 15, section lead-in, eTable 9 title, and footnote b. Values/statements: Section heading: ADDITIONAL UNADJUSTED DATA AND ANALYSES; text says no adjustment, weighting, or imputation; title says adjusted relative risk; footnote b says calculated without adjustment. Calculation/logical basis: Title directly conflicts with the nearby description and footnote. Verification instruction: Confirm model specification and make section text, title, and footnote consistent."
jama.2025.11178,10,Minor,Presentation inconsistency,Lead-in describes unadjusted mean secondary outcomes; eTable 11 title says Unadjusted Median and Interquartile Ranges; raw-score columns are medians/percentile ranges while comparison columns are mean differences.,Narrative/abstract; Supplementary table,Effect measure/model label; Summary-statistic/unit label; Footnote/title/caption/legend,jama.2025.11178/.ai_paper_validation/final_report.md,"10. Category: Presentation inconsistency Severity: Minor Location: DOC-005-RESULTS, PDF p. 15 lead-in; PDF p. 17, eTable 11 title/header. Values/statements: Lead-in describes unadjusted mean secondary outcomes; eTable 11 title says Unadjusted Median and Interquartile Ranges; raw-score columns are medians/percentile ranges while comparison columns are mean differences. Calculation/logical basis: Prose and table give incompatible summary-statistic descriptions for raw treatment-group results. Verification instruction: Compare eTable 11 with source analysis output and make prose, title, and headers use the correct description consistently."
